ENSMUSG00000054199|Gon4l
ENSMUSG00000028796|Phc2
ENSMUSG00000020546|Stxbp4
ENSMUSG00000041528|Rnf123
ENSMUSG00000025133|Ints4
ENSMUSG00000070808|Bicra
ENSMUSG00000037111|Setd7
ENSMUSG00000033326|Kdm4a
ENSMUSG00000033955|Tnks1bp1
ENSMUSG00000059060|Rad51b
ENSMUSG00000023353|Agap3
