ENSMUSG00000001755|Coasy
ENSMUSG00000052917|Senp7
ENSMUSG00000026404|Ddx59
ENSMUSG00000022008|Gpalpp1
ENSMUSG00000009733|Tfcp2
ENSMUSG00000036667|Tcaf1
ENSMUSG00000000001|Gnai3
ENSMUSG00000067424|Zfp563
ENSMUSG00000003269|Cyth2
ENSMUSG00000024563|Smad2
ENSMUSG00000062604|Srpk2
