ENSMUSG00000066613|Zfp932
ENSMUSG00000090015|Gm15446
ENSMUSG00000026955|Sapcd2
ENSMUSG00000028032|Papss1
ENSMUSG00000026723|Trdmt1
ENSMUSG00000039270|Megf9
ENSMUSG00000028114|Mettl14
ENSMUSG00000004462|Tbccd1
ENSMUSG00000035024|Ncapd3
ENSMUSG00000018449|Rpain
ENSMUSG00000025574|Tk1
