ENSMUSG00000019295|Tmem129
ENSMUSG00000032314|Etfa
ENSMUSG00000044627|Swi5
ENSMUSG00000031860|Pbx4
ENSMUSG00000073471|Rsph3a
ENSMUSG00000022604|Cep97
ENSMUSG00000021003|Galc
ENSMUSG00000034686|Prr7
ENSMUSG00000026966|Ssna1
ENSMUSG00000046058|Eid2
ENSMUSG00000029463|Fam216a
