ENSMUSG00000028832|Stmn1
ENSMUSG00000019852|Arfgef3
ENSMUSG00000026833|Olfm1
ENSMUSG00000064225|Paqr9
ENSMUSG00000026494|Kif26b
ENSMUSG00000020926|Adam11
ENSMUSG00000026527|Rgs7
ENSMUSG00000006476|Nsmf
ENSMUSG00000039697|Ncoa7
ENSMUSG00000047228|A2ml1
ENSMUSG00000067889|Sptbn2
