ENSMUSG00000074480|Mex3a
ENSMUSG00000021589|Rhobtb3
ENSMUSG00000025812|Pard3
ENSMUSG00000010660|Plcd1
ENSMUSG00000036390|Gadd45a
ENSMUSG00000030917|Tmem159
ENSMUSG00000043391|2510009E07Rik
ENSMUSG00000063919|Srrm4
ENSMUSG00000046997|Spsb4
ENSMUSG00000036185|Sapcd1
ENSMUSG00000041000|Trim62
