ENSMUSG00000063663|Brwd3
ENSMUSG00000020721|Helz
ENSMUSG00000072258|Taf1a
ENSMUSG00000030733|Sh2b1
ENSMUSG00000079020|Slc45a4
ENSMUSG00000040325|Dcaf1
ENSMUSG00000020109|Dnajb12
ENSMUSG00000024393|Prrc2a
ENSMUSG00000001627|Ifrd1
ENSMUSG00000020111|Micu1
ENSMUSG00000044636|Csrnp2
