ENSMUSG00000047547|Cltb
ENSMUSG00000019210|Atp6v1e1
ENSMUSG00000027384|Ndufaf5
ENSMUSG00000046861|Hectd3
ENSMUSG00000028959|Fastk
ENSMUSG00000028945|Rheb
ENSMUSG00000001472|Tcf25
ENSMUSG00000025499|Hras
ENSMUSG00000029221|Slc30a9
ENSMUSG00000015094|Npdc1
ENSMUSG00000037190|Cyb561d2
