ENSMUSG00000026032|Ndufb3
ENSMUSG00000026643|Nmt2
ENSMUSG00000015656|Hspa8
ENSMUSG00000051675|Trim32
ENSMUSG00000024581|Napg
ENSMUSG00000025266|Gnl3l
ENSMUSG00000047617|Paxx
ENSMUSG00000047454|Gphn
ENSMUSG00000047459|Dynlrb1
ENSMUSG00000041353|Tmem29
ENSMUSG00000001175|Calm1
