ENSMUSG00000021938|Pspc1
ENSMUSG00000027613|Eif6
ENSMUSG00000004285|Atp6v1f
ENSMUSG00000040034|Nup43
ENSMUSG00000056459|Zbtb25
ENSMUSG00000030751|Psma1
ENSMUSG00000043872|Zmym1
ENSMUSG00000020248|Nfyb
ENSMUSG00000002307|Daxx
ENSMUSG00000040112|Mrps35
ENSMUSG00000061904|Slc25a3
