ENSMUSG00000018567|Gabarap
ENSMUSG00000021504|B4galt7
ENSMUSG00000073609|D2hgdh
ENSMUSG00000031149|Praf2
ENSMUSG00000029632|Ndufa4
ENSMUSG00000024050|Wiz
ENSMUSG00000033004|Mycbp2
ENSMUSG00000074247|Dda1
ENSMUSG00000029600|Rita1
ENSMUSG00000034744|Nagk
ENSMUSG00000031516|Dctn6
