ENSMUSG00000026155|Smap1
ENSMUSG00000031148|Gpkow
ENSMUSG00000030750|Nsmce1
ENSMUSG00000026034|Clk1
ENSMUSG00000046138|9930021J03Rik
ENSMUSG00000022472|Desi1
ENSMUSG00000020859|Spag9
ENSMUSG00000020572|Nampt
ENSMUSG00000020841|Cpd
ENSMUSG00000068290|Ddrgk1
ENSMUSG00000037062|Sh3glb1
