ENSMUSG00000032431|Crtap
ENSMUSG00000030905|Crym
ENSMUSG00000027408|Cpxm1
ENSMUSG00000022483|Col2a1
ENSMUSG00000027570|Col9a3
ENSMUSG00000027966|Col11a1
ENSMUSG00000001288|Rarg
ENSMUSG00000074916|Chst14
ENSMUSG00000024598|Fbn2
ENSMUSG00000029781|Fkbp9
ENSMUSG00000021756|Il6st
