ENSMUSG00000067370|B3galt4
ENSMUSG00000020432|Tcn2
ENSMUSG00000020102|Slc16a7
ENSMUSG00000031591|Asah1
ENSMUSG00000023367|Tmem176a
ENSMUSG00000020829|Slc46a1
ENSMUSG00000024691|Fam111a
ENSMUSG00000017697|Ada
ENSMUSG00000079442|St6galnac4
ENSMUSG00000028961|Pgd
ENSMUSG00000026737|Pip4k2a
