ENSMUSG00000046562|Unc119b
ENSMUSG00000087249|Gm16062
ENSMUSG00000050989|Selenon
ENSMUSG00000034462|Pkd2
ENSMUSG00000028454|Pigo
ENSMUSG00000074925|Ptar1
ENSMUSG00000063550|Nup98
ENSMUSG00000024052|Lpin2
ENSMUSG00000021339|Mrs2
ENSMUSG00000022200|Golph3
ENSMUSG00000044950|Pwwp2a
