ENSMUSG00000029674|Limk1
ENSMUSG00000048707|Tprn
ENSMUSG00000032666|1700025G04Rik
ENSMUSG00000048027|Rgmb
ENSMUSG00000022637|Cblb
ENSMUSG00000033933|Vhl
ENSMUSG00000009621|Vav2
ENSMUSG00000086067|Gm16183
ENSMUSG00000039913|Pak7
ENSMUSG00000008305|Tle1
ENSMUSG00000056089|Gm5468
