ENSMUSG00000002897|Il17ra
ENSMUSG00000024525|Impa2
ENSMUSG00000020650|Bcap29
ENSMUSG00000029622|Arpc1b
ENSMUSG00000021591|Glrx
ENSMUSG00000019564|Arid3a
ENSMUSG00000022575|Gsdmd
ENSMUSG00000054676|1600014C10Rik
ENSMUSG00000000594|Gm2a
ENSMUSG00000060063|Alox5ap
ENSMUSG00000106874|Gm20186
