ENSMUSG00000030357|Fkbp4
ENSMUSG00000042569|Dhrs7b
ENSMUSG00000035378|Shq1
ENSMUSG00000034889|Cactin
ENSMUSG00000009640|Dmap1
ENSMUSG00000033918|Parl
ENSMUSG00000022792|Yars2
ENSMUSG00000003873|Bax
ENSMUSG00000079614|Seh1l
ENSMUSG00000063576|Klhdc3
ENSMUSG00000024151|Msh2
