ENSMUSG00000019303|Psmc3ip
ENSMUSG00000030323|Ift122
ENSMUSG00000015943|Bola1
ENSMUSG00000035614|Togaram1
ENSMUSG00000027207|Galk2
ENSMUSG00000017286|Glod4
ENSMUSG00000007867|Ift43
ENSMUSG00000052139|Babam2
ENSMUSG00000038564|Ift172
ENSMUSG00000042293|Gm5617
ENSMUSG00000018858|Mrpl58
