ENSMUSG00000041215|Yeats2
ENSMUSG00000027598|Itch
ENSMUSG00000033423|Eri3
ENSMUSG00000033392|Clasp2
ENSMUSG00000018363|Smurf2
ENSMUSG00000034893|Cog3
ENSMUSG00000026554|Dcaf8
ENSMUSG00000001289|Pfdn5
ENSMUSG00000039523|Cep104
ENSMUSG00000056692|D17Wsu92e
ENSMUSG00000051989|Smim11
