ENSMUSG00000027573|Gid8
ENSMUSG00000026867|Gapvd1
ENSMUSG00000030432|Rpl28
ENSMUSG00000021693|Kif2a
ENSMUSG00000067288|Rps28
ENSMUSG00000043019|Edem3
ENSMUSG00000029802|Abcg2
ENSMUSG00000027809|Etfdh
ENSMUSG00000040720|Virma
ENSMUSG00000057863|Rpl36
ENSMUSG00000061477|Rps7
