ENSMUSG00000022992|Kansl2
ENSMUSG00000028771|Ptpn12
ENSMUSG00000023009|Nckap5l
ENSMUSG00000031681|Smad1
ENSMUSG00000056429|Tgoln1
ENSMUSG00000031537|Ikbkb
ENSMUSG00000041685|Fcho2
ENSMUSG00000028277|Ube2j1
ENSMUSG00000042303|Sgsm3
ENSMUSG00000048271|Rbm33
ENSMUSG00000041040|Fam117b
