ENSMUSG00000037958|Nsrp1
ENSMUSG00000035632|Cnot3
ENSMUSG00000097206|Gm26699
ENSMUSG00000020594|Pum2
ENSMUSG00000024795|Kif20b
ENSMUSG00000044927|H1fx
ENSMUSG00000027715|Ccna2
ENSMUSG00000019942|Cdk1
ENSMUSG00000002297|Dbf4
ENSMUSG00000030677|Kif22
ENSMUSG00000027201|Myef2
