ENSMUSG00000028992|Nmnat1
ENSMUSG00000045665|Mfsd5
ENSMUSG00000018733|Pex12
ENSMUSG00000019948|Actr6
ENSMUSG00000034575|Papd7
ENSMUSG00000033054|Npat
ENSMUSG00000005682|Pan2
ENSMUSG00000018143|Mafk
ENSMUSG00000024163|Mapk8ip3
ENSMUSG00000027164|Traf6
ENSMUSG00000040321|Zfp770
