ENSMUSG00000048787|Dcun1d3
ENSMUSG00000066152|Slc31a2
ENSMUSG00000090622|A930033H14Rik
ENSMUSG00000081534|Slc48a1
ENSMUSG00000048039|Isg20l2
ENSMUSG00000026988|Wdsub1
ENSMUSG00000026162|Nhej1
ENSMUSG00000039686|Zer1
ENSMUSG00000022337|Emc2
ENSMUSG00000031168|Ebp
ENSMUSG00000038141|Tmem181a
