ENSMUSG00000015476|Prrt1
ENSMUSG00000053111|Fank1
ENSMUSG00000033502|Cdc14a
ENSMUSG00000086158|Ccpg1os
ENSMUSG00000014846|Tppp3
ENSMUSG00000025420|Katnal2
ENSMUSG00000034227|Foxj1
ENSMUSG00000031565|Fgfr1
ENSMUSG00000070044|Fam149a
ENSMUSG00000009739|Pou6f1
ENSMUSG00000029442|Wdr66
