ENSMUSG00000053094|Tmem248
ENSMUSG00000006392|Med8
ENSMUSG00000024583|Txnl1
ENSMUSG00000031201|Brcc3
ENSMUSG00000063200|Nol7
ENSMUSG00000040455|Usp45
ENSMUSG00000041733|Coq5
ENSMUSG00000014873|Surf2
ENSMUSG00000034729|Mrps10
ENSMUSG00000037851|Iars
ENSMUSG00000004897|Hdgf
