ENSMUSG00000056167|Cnot10
ENSMUSG00000020271|Fbxw11
ENSMUSG00000003847|Nfat5
ENSMUSG00000022521|Crebbp
ENSMUSG00000022517|Mgrn1
ENSMUSG00000047843|Bri3
ENSMUSG00000048249|Crebrf
ENSMUSG00000037692|Ahdc1
ENSMUSG00000027312|Atrn
ENSMUSG00000028468|Rgp1
ENSMUSG00000024042|Sik1
