ENSMUSG00000094910|D430019H16Rik
ENSMUSG00000027546|Atp9a
ENSMUSG00000008892|Vdac3
ENSMUSG00000035601|Trmt10b
ENSMUSG00000026617|Bpnt1
ENSMUSG00000021643|Serf1
ENSMUSG00000035863|Palm
ENSMUSG00000038489|Polr2l
ENSMUSG00000007783|Cpt1c
ENSMUSG00000027175|Tcp11l1
ENSMUSG00000027131|Emc4
