ENSMUSG00000022822|Abcc5
ENSMUSG00000040746|Rnf167
ENSMUSG00000038555|Reep2
ENSMUSG00000028447|Dctn3
ENSMUSG00000024012|Mtch1
ENSMUSG00000024862|Klc2
ENSMUSG00000068732|Tmem167b
ENSMUSG00000040532|Abhd11
ENSMUSG00000034254|Agpat1
ENSMUSG00000013646|Sh3bp5l
ENSMUSG00000037499|Nenf
