ENSMUSG00000038119|Cdon
ENSMUSG00000038074|Fkbp14
ENSMUSG00000028641|P3h1
ENSMUSG00000042846|Lrrtm3
ENSMUSG00000021314|Amph
ENSMUSG00000029338|Antxr2
ENSMUSG00000029406|Pitpnm2
ENSMUSG00000022353|Mtss1
ENSMUSG00000019124|Scrn1
ENSMUSG00000022544|Eef2kmt
ENSMUSG00000045216|Hs6st1
