ENSMUSG00000028582|Cc2d1b
ENSMUSG00000031996|Aplp2
ENSMUSG00000053510|Nrd1
ENSMUSG00000041769|Ppp2r2d
ENSMUSG00000059263|Usp47
ENSMUSG00000054469|Lclat1
ENSMUSG00000048720|Tbc1d12
ENSMUSG00000020321|Mdh1
ENSMUSG00000009995|Taz
ENSMUSG00000040021|Lats1
ENSMUSG00000100084|2310068J16Rik
