ENSMUSG00000019810|Fuca2
ENSMUSG00000053950|Adnp2
ENSMUSG00000058486|Wdr91
ENSMUSG00000032046|Abhd12
ENSMUSG00000002103|Acp2
ENSMUSG00000020097|Sgpl1
ENSMUSG00000025218|Poll
ENSMUSG00000022971|Ifnar2
ENSMUSG00000035284|Vps13c
ENSMUSG00000047694|Yipf6
ENSMUSG00000024457|Trim26
