ENSMUSG00000025085|Ablim1
ENSMUSG00000039959|Hip1
ENSMUSG00000038264|Sema7a
ENSMUSG00000039831|Arhgap29
ENSMUSG00000020142|Slc1a4
ENSMUSG00000034714|Ttyh2
ENSMUSG00000066043|Phactr4
ENSMUSG00000028152|Tspan5
ENSMUSG00000056602|Fry
ENSMUSG00000024431|Nr3c1
ENSMUSG00000004270|Lpcat3
