ENSMUSG00000095139|Pou3f2
ENSMUSG00000030254|Rad18
ENSMUSG00000035151|Elmod2
ENSMUSG00000014773|Dll1
ENSMUSG00000021453|Gadd45g
ENSMUSG00000020052|Ascl1
ENSMUSG00000072962|Gm16401
ENSMUSG00000062470|Fbxl12os
ENSMUSG00000030350|Prmt8
ENSMUSG00000021676|Iqgap2
ENSMUSG00000063160|Numbl
