ENSMUSG00000044991|1110034G24Rik
ENSMUSG00000031820|Babam1
ENSMUSG00000025277|Abhd6
ENSMUSG00000035954|Dock4
ENSMUSG00000028126|Pip5k1a
ENSMUSG00000037270|4932438A13Rik
ENSMUSG00000029599|Ddx54
ENSMUSG00000022890|Atp5j
ENSMUSG00000032571|Pik3r4
ENSMUSG00000028163|Nfkb1
ENSMUSG00000044982|Sft2d3
