ENSMUSG00000034105|Tldc1
ENSMUSG00000055839|Elob
ENSMUSG00000035048|Anapc13
ENSMUSG00000029103|Lrpap1
ENSMUSG00000029104|Htt
ENSMUSG00000028405|Aco1
ENSMUSG00000032527|Pccb
ENSMUSG00000021686|Ap3b1
ENSMUSG00000084786|Ubl5
ENSMUSG00000054008|Ndst1
ENSMUSG00000030545|Pex11a
