ENSMUSG00000050605|Zfp61
ENSMUSG00000086968|4933431E20Rik
ENSMUSG00000001918|Slc1a5
ENSMUSG00000031595|Pdgfrl
ENSMUSG00000028199|Cryz
ENSMUSG00000021760|Gpx8
ENSMUSG00000050222|Il17d
ENSMUSG00000019539|Rcn3
ENSMUSG00000028517|Plpp3
ENSMUSG00000025036|Sfxn2
ENSMUSG00000021065|Fut8
