ENSMUSG00000029438|Bcl7a
ENSMUSG00000036377|C530008M17Rik
ENSMUSG00000030852|Tacc2
ENSMUSG00000024754|Tmem2
ENSMUSG00000058690|Ccser2
ENSMUSG00000009394|Syn2
ENSMUSG00000104861|3110039M20Rik
ENSMUSG00000029245|Epha5
ENSMUSG00000043456|Zfp536
ENSMUSG00000030465|Psd3
ENSMUSG00000050428|Fbxo46
