ENSMUSG00000068962|Zfp114
ENSMUSG00000027797|Dclk1
ENSMUSG00000107815|Gm44257
ENSMUSG00000071660|Ttc9c
ENSMUSG00000032462|Pik3cb
ENSMUSG00000035642|Aamdc
ENSMUSG00000023909|Paqr4
ENSMUSG00000022665|Ccdc80
ENSMUSG00000021379|Id4
ENSMUSG00000036983|Tfb1m
ENSMUSG00000024039|Cbs
