ENSMUSG00000027168|Pax6
ENSMUSG00000000560|Gabra2
ENSMUSG00000037995|Igsf9
ENSMUSG00000046854|Pip5kl1
ENSMUSG00000039154|Shd
ENSMUSG00000024261|Syt4
ENSMUSG00000027985|Lef1
ENSMUSG00000092074|Dynlt1a
ENSMUSG00000062519|Zfp398
ENSMUSG00000057182|Scn3a
ENSMUSG00000015944|Gatsl2
