ENSMUSG00000033983|Coil
ENSMUSG00000015937|H2afy
ENSMUSG00000025374|Nabp2
ENSMUSG00000028180|Zranb2
ENSMUSG00000024054|Smchd1
ENSMUSG00000029250|Polr2b
ENSMUSG00000037458|Azin1
ENSMUSG00000026153|Fam135a
ENSMUSG00000025066|Sfr1
ENSMUSG00000027984|Hadh
ENSMUSG00000056758|Hmga2
