ENSMUSG00000057440|Mpp7
ENSMUSG00000035325|Sec31a
ENSMUSG00000040128|Pnrc1
ENSMUSG00000061244|Exoc5
ENSMUSG00000002963|Pnkp
ENSMUSG00000003228|Grk5
ENSMUSG00000040423|Rc3h1
ENSMUSG00000040006|Ginm1
ENSMUSG00000040506|Ambra1
ENSMUSG00000046556|Zfp319
ENSMUSG00000029577|Ube3b
