ENSMUSG00000044068|Zrsr1
ENSMUSG00000024414|Mrpl27
ENSMUSG00000014353|Tmem87b
ENSMUSG00000061313|Ddhd2
ENSMUSG00000050608|Minos1
ENSMUSG00000038766|Gabpb2
ENSMUSG00000035885|Cox8a
ENSMUSG00000038121|Fam210a
ENSMUSG00000079065|BC005561
ENSMUSG00000020163|Uqcr11
ENSMUSG00000024875|Yif1a
