ENSMUSG00000070866|Zfp804a
ENSMUSG00000029608|Rph3a
ENSMUSG00000022211|Carmil3
ENSMUSG00000031309|Rps6ka3
ENSMUSG00000020181|Nav3
ENSMUSG00000030854|Ptpn5
ENSMUSG00000038170|Pde4dip
ENSMUSG00000042751|Nmnat2
ENSMUSG00000079598|Clec2l
ENSMUSG00000053930|Shisa6
ENSMUSG00000108434|Gm45768
