ENSMUSG00000024099|Ndufv2
ENSMUSG00000062867|Impdh2
ENSMUSG00000021115|Vrk1
ENSMUSG00000027498|Cstf1
ENSMUSG00000039929|Urb1
ENSMUSG00000058655|Eif4b
ENSMUSG00000006398|Cdc20
ENSMUSG00000058407|Txndc9
ENSMUSG00000020720|Psmd12
ENSMUSG00000021149|Gtpbp4
ENSMUSG00000034931|Dhx8
