ENSMUSG00000003233|Dvl3
ENSMUSG00000026675|Hsd17b7
ENSMUSG00000000202|Btbd17
ENSMUSG00000048015|Neurod4
ENSMUSG00000097683|Gm26644
ENSMUSG00000061143|Maml3
ENSMUSG00000006705|Pknox1
ENSMUSG00000018661|Cog1
ENSMUSG00000027459|Fam110a
ENSMUSG00000032024|Clmp
ENSMUSG00000000531|Grasp
