ENSMUSG00000028478|Clta
ENSMUSG00000028085|Gatb
ENSMUSG00000022807|Osbpl11
ENSMUSG00000079427|Mthfsl
ENSMUSG00000025521|Tmem192
ENSMUSG00000028062|Lamtor2
ENSMUSG00000047804|Akap10
ENSMUSG00000000346|Dazap2
ENSMUSG00000004070|Hmox2
ENSMUSG00000020818|Mfsd11
ENSMUSG00000030842|Lamtor1
