ENSMUSG00000020346|Mgat1
ENSMUSG00000037174|Elf2
ENSMUSG00000025612|Bach1
ENSMUSG00000037242|Clic4
ENSMUSG00000034781|Gna11
ENSMUSG00000037235|Mxd4
ENSMUSG00000028479|Gne
ENSMUSG00000042348|Arl15
ENSMUSG00000035354|Uvrag
ENSMUSG00000027523|Gnas
ENSMUSG00000036281|Snapc4
