ENSMUSG00000005873|Reep5
ENSMUSG00000031934|Panx1
ENSMUSG00000026563|Tada1
ENSMUSG00000056260|Lrif1
ENSMUSG00000041570|Camsap2
ENSMUSG00000066151|Fkbp15
ENSMUSG00000036712|Cyld
ENSMUSG00000058230|Arhgap35
ENSMUSG00000050310|Rictor
ENSMUSG00000060279|Ap2a1
ENSMUSG00000035757|Selenoo
