ENSMUSG00000035941|Ibtk
ENSMUSG00000055639|Dach1
ENSMUSG00000017485|Top2b
ENSMUSG00000094626|Tmem121b
ENSMUSG00000035621|Midn
ENSMUSG00000026670|Uap1
ENSMUSG00000019988|Nedd1
ENSMUSG00000050379|Sept6
ENSMUSG00000051232|Tmem199
ENSMUSG00000029581|Fscn1
ENSMUSG00000027472|Pdrg1
