ENSMUSG00000028538|St3gal3
ENSMUSG00000071650|Ganab
ENSMUSG00000054414|Slc30a7
ENSMUSG00000071064|Zfp827
ENSMUSG00000031295|Phka2
ENSMUSG00000004056|Akt2
ENSMUSG00000048486|Fitm2
ENSMUSG00000068114|Ccdc134
ENSMUSG00000037553|Zdhhc18
ENSMUSG00000070972|Dnajc25
ENSMUSG00000074873|AI606181
