ENSMUSG00000025147|Mob2
ENSMUSG00000031511|Arhgef7
ENSMUSG00000052997|Uba2
ENSMUSG00000033909|Usp36
ENSMUSG00000025234|Arih1
ENSMUSG00000030409|Dmpk
ENSMUSG00000090841|Myl6
ENSMUSG00000025644|Gm7628
ENSMUSG00000087651|1500009L16Rik
ENSMUSG00000009681|Bcr
ENSMUSG00000025809|Itgb1
