ENSMUSG00000026566|Mpzl1
ENSMUSG00000015994|Fnta
ENSMUSG00000021975|Ints9
ENSMUSG00000029053|Prkcz
ENSMUSG00000034602|Mon2
ENSMUSG00000022749|Tbc1d23
ENSMUSG00000032262|Elovl4
ENSMUSG00000024780|Cdc37l1
ENSMUSG00000035891|Cerk
ENSMUSG00000026349|Ccnt2
ENSMUSG00000061778|Mospd2
