ENSMUSG00000053550|Shisa7
ENSMUSG00000043388|Tmem130
ENSMUSG00000048978|Nrsn1
ENSMUSG00000047242|Taf9b
ENSMUSG00000003411|Rab3b
ENSMUSG00000072875|Gpr27
ENSMUSG00000039278|Pcsk1n
ENSMUSG00000041362|Shtn1
ENSMUSG00000028214|Gem
ENSMUSG00000075478|Slitrk1
ENSMUSG00000032297|Celf6
