ENSMUSG00000037343|Taf2
ENSMUSG00000037725|Ckap2
ENSMUSG00000068101|Cenpm
ENSMUSG00000039065|Fam173b
ENSMUSG00000044783|Hjurp
ENSMUSG00000038619|Ensa
ENSMUSG00000031004|Mki67
ENSMUSG00000036941|Elac1
ENSMUSG00000040591|1110051M20Rik
ENSMUSG00000072969|Armcx5
ENSMUSG00000027628|Aar2
