ENSMUSG00000042873|Lhfpl4
ENSMUSG00000006024|Napa
ENSMUSG00000050668|Gpatch11
ENSMUSG00000009549|Srp14
ENSMUSG00000053329|D10Jhu81e
ENSMUSG00000022760|Thap7
ENSMUSG00000074238|Ap1ar
ENSMUSG00000039195|1110008P14Rik
ENSMUSG00000063077|Kif1b
ENSMUSG00000018405|Mrm1
ENSMUSG00000050705|2310061I04Rik
