ENSMUSG00000041684|Bivm
ENSMUSG00000042178|Armc5
ENSMUSG00000071654|Uqcc3
ENSMUSG00000039220|Ppp1r10
ENSMUSG00000097290|1300002E11Rik
ENSMUSG00000027291|Vps39
ENSMUSG00000035062|Zc4h2
ENSMUSG00000038039|Gcc2
ENSMUSG00000032870|Smap2
ENSMUSG00000036985|Zdhhc9
ENSMUSG00000021578|Ccdc127
