ENSMUSG00000025040|Fundc1
ENSMUSG00000071074|Yipf3
ENSMUSG00000028954|Nub1
ENSMUSG00000039000|Ube3c
ENSMUSG00000055024|Ep300
ENSMUSG00000019969|Psen1
ENSMUSG00000032096|Arcn1
ENSMUSG00000003346|Abhd17a
ENSMUSG00000037552|Plekhg2
ENSMUSG00000021025|Nfkbia
ENSMUSG00000053012|Krcc1
