ENSMUSG00000032423|Syncrip
ENSMUSG00000020780|Srp68
ENSMUSG00000003235|Eif2b5
ENSMUSG00000021692|Dimt1
ENSMUSG00000021694|Ercc8
ENSMUSG00000040550|Otud6b
ENSMUSG00000035478|Mbd3
ENSMUSG00000029466|Anapc7
ENSMUSG00000013701|Timm23
ENSMUSG00000021488|Nsd1
ENSMUSG00000038722|Bud31
