ENSMUSG00000026429|Ube2t
ENSMUSG00000057110|Cntrl
ENSMUSG00000038070|Cntln
ENSMUSG00000050555|Hyls1
ENSMUSG00000061533|Cep128
ENSMUSG00000042670|Immp1l
ENSMUSG00000028848|Gpn2
ENSMUSG00000036398|Ppp1r11
ENSMUSG00000007987|Ift22
ENSMUSG00000030815|Phkg2
ENSMUSG00000030509|Asb7
