ENSMUSG00000000278|Scpep1
ENSMUSG00000021477|Ctsl
ENSMUSG00000042797|Aqp11
ENSMUSG00000020733|Slc9a3r1
ENSMUSG00000030934|Oat
ENSMUSG00000042903|Foxo4
ENSMUSG00000059412|Fxyd2
ENSMUSG00000025608|Podxl
ENSMUSG00000024990|Rbp4
ENSMUSG00000040111|Gramd1b
ENSMUSG00000029446|Psph
