ENSMUSG00000028060|2810403A07Rik
ENSMUSG00000059851|Kmt5c
ENSMUSG00000026812|Tsc1
ENSMUSG00000002280|Narfl
ENSMUSG00000045252|Zfp574
ENSMUSG00000004319|Clcn3
ENSMUSG00000020850|Prpf8
ENSMUSG00000062040|Zfp27
ENSMUSG00000010277|2610507B11Rik
ENSMUSG00000027357|Crls1
ENSMUSG00000032763|Ilvbl
