ENSMUSG00000003378|Grik5
ENSMUSG00000033417|Cacul1
ENSMUSG00000016252|Atp5e
ENSMUSG00000038838|Vars2
ENSMUSG00000007411|Mark3
ENSMUSG00000064367|mt-Nd5
ENSMUSG00000064363|mt-Nd4
ENSMUSG00000041220|Elovl6
ENSMUSG00000064345|mt-Nd2
ENSMUSG00000038902|Pogz
ENSMUSG00000038914|Dido1
